"convocation","years","first_name","last_name","counter","x","y"
1,"1990-1994","Олександр","Гудима","1",3,37
1,"1990-1994","Анатолій","Глуховський","1",4,37
1,"1990-1994","Володимир","Бортник","1",5,37
1,"1990-1994","Анатолій","Поперняк","1",6,37
1,"1990-1994","Никанор","Фесун","1",7,37
1,"1990-1994","Микола","Любенчук","1",8,37
1,"1990-1994","Катерина","Бойко","1",9,37
1,"1990-1994","Олександр","Ємельянов","1",10,37
1,"1990-1994","Микола","Воєвода","1",1,38
1,"1990-1994","Володимир","Криволап","1",2,38
1,"1990-1994","Андрій","Мостиський","1",3,38
1,"1990-1994","Віталій","Дробінський","1",4,38
1,"1990-1994","Микола","Білоблоцький","1",5,38
1,"1990-1994","Григорій","Загородній","1",6,38
1,"1990-1994","Віталій","Полях","1",7,38
1,"1990-1994","Юрій","Єльченко","1",8,38
1,"1990-1994","Вадим","Гетьман","1",9,38
1,"1990-1994","Володимир","Шаповал","1",10,38
1,"1990-1994","Іван","Пасічник","1",1,39
1,"1990-1994","Микола","Артеменко","1",2,39
1,"1990-1994","Олександр","Заєць","1",3,39
1,"1990-1994","Федір","Свідерський","1",4,39
1,"1990-1994","Георгій","Ходоровський","1",5,39
1,"1990-1994","Іван","Бойко","1",6,39
1,"1990-1994","Василь","Бідений","1",7,39
1,"1990-1994","Володимир","Стус","1",8,39
1,"1990-1994","Дмитро","Бабій","1",9,39
1,"1990-1994","Євген","Дмитрієв","1",10,39
1,"1990-1994","Віктор","Жук","1",1,40
1,"1990-1994","Микола","Ревенко","1",2,40
1,"1990-1994","Тетяна","Яхеєва","1",3,40
1,"1990-1994","Анатолій","Лисенко","1",4,40
1,"1990-1994","Андрій","Бондарчук","1",5,40
1,"1990-1994","Герман","Асеєв","1",6,40
1,"1990-1994","Володимир","Портной","1",7,40
1,"1990-1994","Михайло","Гришко","1",8,40
1,"1990-1994","Сергій","Семенець","1",9,40
1,"1990-1994","Леонід","Яковишин","1",10,40
1,"1990-1994","Віктор","Куянов","1",1,41
1,"1990-1994","Павло","Мисник","1",2,41
1,"1990-1994","Віктор","Приходько","1",3,41
1,"1990-1994","Василь","Лісовенко","1",4,41
1,"1990-1994","Анатолій","Дронь","1",5,41
1,"1990-1994","Павло","Віцяк","1",6,41
1,"1990-1994","Віталій","Масол","1",7,41
1,"1990-1994","Валентин","Леміш","1",8,41
1,"1990-1994","Михайло","Парасунько","1",9,41
1,"1990-1994","Юрій","Бабанський","1",10,41
1,"1990-1994","Едуард","Дідоренко","1",1,42
1,"1990-1994","Олесь","Шевченко","1",2,42
1,"1990-1994","Анатолій","Ягоферов","1",3,42
1,"1990-1994","Володимир","Квасов","1",4,42
1,"1990-1994","Віктор","Тихонов","1",5,42
1,"1990-1994","Олександр","Борзих","1",6,42
1,"1990-1994","Василь","Козаренко","1",7,42
1,"1990-1994","Юлій","Іоффе","1",8,42
1,"1990-1994","Володимир","Дорофєєв","1",9,42
1,"1990-1994","Олександр","Остапенко","1",10,42
1,"1990-1994","Віктор","Теряник","1",1,43
1,"1990-1994","В'ячеслав","Лобач","1",2,43
1,"1990-1994","Володимир","Івашко","1",3,43
1,"1990-1994","Володимир","Головач","1",4,43
1,"1990-1994","Лев","Базілянський","1",5,43
1,"1990-1994","Віталій","Сальніченко","1",6,43
1,"1990-1994","Микола","Гавриленко","1",7,43
1,"1990-1994","Богдан","Ліщина","1",8,43
1,"1990-1994","Геннадій","Фоменко","1",9,43
1,"1990-1994","Віктор","Бондаренко","1",10,43
1,"1990-1994","Іван","Ляхов","1",1,44
1,"1990-1994","Микола","Шульга","1",2,44
1,"1990-1994","Микола","Церт","1",3,44
1,"1990-1994","Вітольд","Фокін","1",4,44
1,"1990-1994","Борис","Духов","1",5,44
1,"1990-1994","Микола","Яришев","1",6,44
1,"1990-1994","Едуард","Хананов","1",7,44
1,"1990-1994","Олександр","Стешенко","1",8,44
1,"1990-1994","Микола","Шведенко","1",9,44
1,"1990-1994","Микола","Попов","1",10,44
1,"1990-1994","Валентин","Протасов","1",1,45
1,"1990-1994","Володимир","Яцуба","1",2,45
1,"1990-1994","Анатолій","Корж","1",3,45
1,"1990-1994","Володимир","Павлов","1",4,45
1,"1990-1994","Валерій","Пустовойтенко","1",5,45
1,"1990-1994","Віктор","Веретенніков","1",6,45
1,"1990-1994","Юрій","Гнаткевич","1",7,45
1,"1990-1994","Володимир","Сметанін","1",8,45
1,"1990-1994","Леонід","Кучма","1",9,45
1,"1990-1994","Леопольд","Табурянський","1",10,45
1,"1990-1994","Сергій","Правденко","1",1,46
1,"1990-1994","Микола","Баландюк","1",2,46
1,"1990-1994","Леонід","Дубров","1",3,46
1,"1990-1994","Микола","Істратенко","1",4,46
1,"1990-1994","Олександр","Барабаш","1",5,46
1,"1990-1994","Володимир","Чорнокур","1",6,46
1,"1990-1994","Михайло","Байрака","1",7,46
1,"1990-1994","Валерій","Івасюк","1",8,46
1,"1990-1994","Микола","Рябченко","1",9,46
1,"1990-1994","Дмитро","Хомич","1",10,46
1,"1990-1994","Володимир","Бадов","1",1,47
1,"1990-1994","Микола","Коробко","1",2,47
1,"1990-1994","Василь","Євтухов","1",3,47
1,"1990-1994","Володимир","Негода","1",4,47
1,"1990-1994","Юрій","Головко","1",5,47
1,"1990-1994","Анатолій","Мельник","1",6,47
1,"1990-1994","Володимир","Слободенюк","1",7,47
1,"1990-1994","Володимир","Медвєдєв","1",8,47
2,"1994-1998","Анатолій","Агафонов","1",1,1
2,"1994-1998","Микола","Азаров","1",2,1
2,"1994-1998","Сергій","Аксененко","1",3,1
2,"1994-1998","Володимир","Алексєєв","1",4,1
2,"1994-1998","Валерій","Альошин","1",5,1
2,"1994-1998","Володимир","Ампілогов","1",6,1
2,"1994-1998","Леонід","Анісімов","1",7,1
2,"1994-1998","Єгор","Анненков","1",8,1
2,"1994-1998","Валерій","Бабич","1",9,1
2,"1994-1998","Микола","Байрак","1",10,1
2,"1994-1998","Ігор","Бакай","1",1,2
2,"1994-1998","Ярослав","Бардин","1",2,2
2,"1994-1998","Роман","Безсмертний","1",3,2
2,"1994-1998","Анатолій","Безуглий","1",4,2
2,"1994-1998","Олексій","Бережний","1",5,2
2,"1994-1998","Вячеслав","Бєльський","1",6,2
2,"1994-1998","Микола","Биченко","1",7,2
2,"1994-1998","Іван","Білас","1",8,2
2,"1994-1998","Вячеслав","Білоус","1",9,2
2,"1994-1998","Олександр","Бобриньов","1",10,2
2,"1994-1998","Олег","Боженко","1",1,3
2,"1994-1998","Юрій","Болдирєв","1",2,3
2,"1994-1998","Володимир","Бондаренко","1",3,3
2,"1994-1998","Олександр","Боровик","1",4,3
2,"1994-1998","Леонід","Бородіч","1",5,3
2,"1994-1998","Віктор","Брит","1",6,3
2,"1994-1998","Володимир","Бряузов","1",7,3
2,"1994-1998","Юрій","Бублик","1",8,3
2,"1994-1998","Юрій","Буздуган","1",9,3
2,"1994-1998","Сергій","Буряк","1",10,3
2,"1994-1998","Олександр","Бурячинський","1",1,4
2,"1994-1998","Антон","Бутейко","1",2,4
2,"1994-1998","Володимир","Буткевич","1",3,4
2,"1994-1998","Геннадій","Васильєв","1",4,4
2,"1994-1998","Іван","Васюра","1",5,4
2,"1994-1998","Катерина","Ващук","1",6,4
2,"1994-1998","Леонід","Вернигора","1",7,4
2,"1994-1998","Василь","Верхогляд","1",8,4
2,"1994-1998","Георгій","Вишнєвецький","1",9,4
2,"1994-1998","Йосип","Вінський","1",10,4
2,"1994-1998","Олег","Вітович","1",1,5
2,"1994-1998","Наталія","Вітренко","1",2,5
2,"1994-1998","Леонід","Гаманюк","1",3,5
2,"1994-1998","Леонід","Гармаш","1",4,5
2,"1994-1998","Віталій","Гарькавий","1",5,5
2,"1994-1998","Петро","Германчук","1",6,5
2,"1994-1998","Віктор","Гладуш","1",7,5
2,"1994-1998","Іван","Глух","1",8,5
2,"1994-1998","Лев","Глухівський","1",9,5
2,"1994-1998","Сергій","Гмиря","1",10,5
2,"1994-1998","Володимир","Говорун","1",1,6
2,"1994-1998","Анатолій","Головко","1",2,6
2,"1994-1998","Володимир","Головко","1",3,6
2,"1994-1998","Анатолій","Голубченко","1",4,6
2,"1994-1998","Василь","Гончар","1",5,6
2,"1994-1998","Микола","Горбаль","1",6,6
2,"1994-1998","Валерій","Горбатов","1",7,6
2,"1994-1998","Микола","Горбатюк","1",8,6
2,"1994-1998","Мирослав","Горбатюк","1",9,6
2,"1994-1998","Валентина","Гошовська","1",10,6
2,"1994-1998","Микола","Грабар","1",1,7
2,"1994-1998","Лілія","Григорович","1",2,7
2,"1994-1998","Іван","Грінцов","1",3,7
2,"1994-1998","Едуард","Гурвіц","1",4,7
2,"1994-1998","Вадим","Гуров","1",5,7
2,"1994-1998","Анатолій","Даниленко","1",6,7
2,"1994-1998","Михайло","Данча","1",7,7
2,"1994-1998","Григорій","Дем'ян","1",8,7
2,"1994-1998","Григорій","Динейкін","1",9,7
2,"1994-1998","Петро","Дідик","1",10,7
2,"1994-1998","Григорій","Діхтяренко","1",1,8
2,"1994-1998","Олексій","Дмитренко","1",2,8
2,"1994-1998","Григорій","Довганчин","1",3,8
2,"1994-1998","Сергій","Довгань","1",4,8
2,"1994-1998","Геннадій","Долженко","1",5,8
2,"1994-1998","Микола","Дондик","1",6,8
