"convocation","gender","last_name","first_name","year","label","years"
1,1,"Мельник","Борис",1941,11,"1990-1994"
1,1,"Залудяк","Микола",1941,12,"1990-1994"
1,1,"Каменчук","Сергій",1941,13,"1990-1994"
1,1,"Череп","Валерій",1941,14,"1990-1994"
1,1,"Чепурний","Анатолій",1941,15,"1990-1994"
1,1,"Бичков","Вячеслав",1941,16,"1990-1994"
1,1,"Фесун","Никанор",1941,17,"1990-1994"
1,1,"Бабій","Дмитро",1941,18,"1990-1994"
1,1,"Дорофєєв","Володимир",1941,19,"1990-1994"
1,1,"Павлов","Володимир",1941,20,"1990-1994"
1,1,"Рябченко","Микола",1941,21,"1990-1994"
1,1,"Хомич","Дмитро",1941,22,"1990-1994"
1,2,"Бойко","Катерина",1942,1,"1990-1994"
1,1,"Мазур","Володимир",1942,2,"1990-1994"
1,1,"Сівцов","Микола",1942,3,"1990-1994"
1,1,"Дорошенко","Іван",1942,4,"1990-1994"
1,1,"Куцай","Іван",1942,5,"1990-1994"
1,1,"Ступніков","Юрій",1942,6,"1990-1994"
1,1,"Головенко","Микола",1942,7,"1990-1994"
1,1,"Македонський","Іван",1942,8,"1990-1994"
1,1,"Боделан","Руслан",1942,9,"1990-1994"
1,1,"Ківшик","Петро",1942,10,"1990-1994"
1,1,"Чернявський","Олексій",1942,11,"1990-1994"
1,1,"Сухоруков","Андрій",1942,12,"1990-1994"
1,1,"Казмірук","Віталій",1942,13,"1990-1994"
1,1,"Касьяненко","Анатолій",1942,14,"1990-1994"
1,1,"Хананов","Едуард",1942,15,"1990-1994"
1,1,"Салій","Іван",1943,1,"1990-1994"
1,1,"Мокроусов","Анатолій",1943,2,"1990-1994"
1,1,"Гоменюк","Іван",1943,3,"1990-1994"
1,1,"Тарасенко","Олександр",1943,4,"1990-1994"
1,1,"Мокін","Борис",1943,5,"1990-1994"
1,1,"Мусієнко","Іван",1943,6,"1990-1994"
1,1,"Севастьянов","Володимир",1943,7,"1990-1994"
1,1,"Матвєєв","Володимир",1943,8,"1990-1994"
1,1,"Подчос","Григорій",1943,9,"1990-1994"
1,1,"Горохівський","Леон",1943,10,"1990-1994"
1,1,"Мельник","Микола",1943,11,"1990-1994"
1,1,"Білоблоцький","Микола",1943,12,"1990-1994"
1,1,"Мисник","Павло",1943,13,"1990-1994"
1,1,"Парасунько","Михайло",1943,14,"1990-1994"
1,1,"Фоменко","Геннадій",1943,15,"1990-1994"
1,1,"Бондаренко","Віктор",1943,16,"1990-1994"
1,1,"Шульга","Микола",1943,17,"1990-1994"
1,1,"Чорнокур","Володимир",1943,18,"1990-1994"
1,1,"Сухий","Василь",1944,1,"1990-1994"
1,1,"Гребенченко","Леонід",1944,2,"1990-1994"
1,1,"Хотлубєй","Юрій",1944,3,"1990-1994"
1,1,"Новіков","Володимир",1944,4,"1990-1994"
1,1,"Кисельов","Анатолій",1944,5,"1990-1994"
1,1,"Шевченко","Володимир",1944,6,"1990-1994"
1,1,"Пушик","Степан",1944,7,"1990-1994"
1,1,"Ніколаєнко","Іван",1944,8,"1990-1994"
1,1,"Мороз","Олександр",1944,9,"1990-1994"
1,1,"Кузьменко","Микола",1944,10,"1990-1994"
1,1,"Передрій","Борис",1944,11,"1990-1994"
1,1,"Гринчук","Іван",1944,12,"1990-1994"
1,1,"Крупа","Лев",1944,13,"1990-1994"
1,1,"Бідений","Василь",1944,14,"1990-1994"
1,1,"Приходько","Віктор",1944,15,"1990-1994"
1,1,"Слободенюк","Володимир",1944,16,"1990-1994"
1,1,"Тризна","Валентин",1945,1,"1990-1994"
1,1,"Черненко","Віталій",1945,2,"1990-1994"
1,1,"Поличко","Андрій",1945,3,"1990-1994"
1,1,"Габор","Іван",1945,4,"1990-1994"
1,1,"Пшеничников","Анатолій",1945,5,"1990-1994"
1,1,"Перепадін","Олександр",1945,6,"1990-1994"
1,1,"Хмельнюк","Валерій",1945,7,"1990-1994"
1,1,"Гриньов","Володимир",1945,8,"1990-1994"
1,1,"Науменко","Микола",1945,9,"1990-1994"
1,1,"Дронь","Анатолій",1945,10,"1990-1994"
1,1,"Яришев","Микола",1945,11,"1990-1994"
1,2,"Єщенко","Валентина",1946,1,"1990-1994"
1,1,"Дзюба","Микола",1946,2,"1990-1994"
1,1,"Жуков","Володимир",1946,3,"1990-1994"
1,1,"Бандура","Анатолій",1946,4,"1990-1994"
1,1,"Мартинов","Анатолій",1946,5,"1990-1994"
1,1,"Спис","Микола",1946,6,"1990-1994"
1,1,"Гаврилов","Анатолій",1946,7,"1990-1994"
1,1,"Виноградський","Максим",1946,8,"1990-1994"
1,1,"Дунтау","Олександр",1946,9,"1990-1994"
1,1,"Носов","Владислав",1946,10,"1990-1994"
1,1,"Петров","Віктор",1946,11,"1990-1994"
1,1,"Баталов","Валерій",1946,12,"1990-1994"
1,1,"Коржик","Валентин",1946,13,"1990-1994"
1,1,"Глуховський","Анатолій",1946,14,"1990-1994"
1,1,"Любенчук","Микола",1946,15,"1990-1994"
1,1,"Лобач","В'ячеслав",1946,16,"1990-1994"
1,1,"Старіченко","Олександр",1947,1,"1990-1994"
1,1,"Васильєв","Василь",1947,2,"1990-1994"
1,1,"Герасименко","Станіслав",1947,3,"1990-1994"
1,1,"Сидоренко","Микола",1947,4,"1990-1994"
1,1,"Бабенко","Станіслав",1947,5,"1990-1994"
1,1,"Сичов","Віктор",1947,6,"1990-1994"
1,1,"Ніколенко","Анатолій",1947,7,"1990-1994"
1,1,"Петренко","Володимир",1947,8,"1990-1994"
1,1,"Волковецький","Степан",1947,9,"1990-1994"
1,1,"Нечипоренко","Олександр",1947,10,"1990-1994"
1,1,"Матійко","Анатолій",1947,11,"1990-1994"
1,1,"Казак","Леонід",1947,12,"1990-1994"
1,1,"Мещеряков","Валерій",1947,13,"1990-1994"
1,1,"Левченко","Геннадій",1947,14,"1990-1994"
1,1,"Валеня","Іван",1947,15,"1990-1994"
1,1,"Гайсинський","Юрій",1947,16,"1990-1994"
1,1,"Ганжа","Микола",1947,17,"1990-1994"
1,1,"Дмитрієв","Євген",1947,18,"1990-1994"
1,1,"Протасов","Валентин",1947,19,"1990-1994"
1,1,"Яцуба","Володимир",1947,20,"1990-1994"
1,1,"Корж","Анатолій",1947,21,"1990-1994"
1,1,"Пустовойтенко","Валерій",1947,22,"1990-1994"
1,1,"Баландюк","Микола",1947,23,"1990-1994"
1,2,"Гуменюк","Марія",1948,1,"1990-1994"
1,1,"Кондратьєв","Ярослав",1948,2,"1990-1994"
1,1,"Чураков","Валерій",1948,3,"1990-1994"
1,1,"Рибін","Олександр",1948,4,"1990-1994"
1,1,"Борейко","Михайло",1948,5,"1990-1994"
1,1,"Панасюк","Федір",1948,6,"1990-1994"
1,1,"Андрощук","Василь",1948,7,"1990-1994"
1,1,"Зінченко","Арсен",1948,8,"1990-1994"
1,1,"Демидов","Григорій",1948,9,"1990-1994"
1,1,"Маслов","Михайло",1948,10,"1990-1994"
1,1,"Павлюк","Степан",1948,11,"1990-1994"
1,1,"Толубко","Володимир",1948,12,"1990-1994"
1,1,"Степенко","Василь",1948,13,"1990-1994"
1,1,"Пилипчук","Володимир",1948,14,"1990-1994"
1,1,"Юрченко","Анатолій",1948,15,"1990-1994"
1,1,"Тимчук","Сергій",1948,16,"1990-1994"
1,1,"Скальський","Василь",1948,17,"1990-1994"
1,1,"Полях","Віталій",1948,18,"1990-1994"
1,1,"Лісовенко","Василь",1948,19,"1990-1994"
1,1,"Бабанський","Юрій",1948,20,"1990-1994"
1,1,"Ягоферов","Анатолій",1948,21,"1990-1994"
1,1,"Євтухов","Василь",1948,22,"1990-1994"
1,1,"Головко","Юрій",1948,23,"1990-1994"
1,1,"Медвєдєв","Володимир",1948,24,"1990-1994"
1,1,"Півень","Микола",1949,1,"1990-1994"
1,1,"Пауль","Віктор",1949,2,"1990-1994"
1,1,"Родигін","Валерій",1949,3,"1990-1994"
1,1,"Романчук","Володимир",1949,4,"1990-1994"
1,1,"Михайлюк","Василь",1949,5,"1990-1994"
1,1,"Колісниченко","Микола",1949,6,"1990-1994"
1,1,"Башкіров","Михайло",1949,7,"1990-1994"
1,1,"Сватков","Леонід",1949,8,"1990-1994"
1,1,"Руденко","Василь",1949,9,"1990-1994"
1,1,"Сербін","Юрій",1949,10,"1990-1994"
1,1,"Батюшко","Стефан",1949,11,"1990-1994"
1,1,"Колєснік","Олексій",1949,12,"1990-1994"
1,1,"Усатенко","Володимир",1949,13,"1990-1994"
1,1,"Марков","Борис",1949,14,"1990-1994"
1,1,"Петін","Володимир",1949,15,"1990-1994"
1,1,"Бортник","Володимир",1949,16,"1990-1994"
1,1,"Свідерський","Федір",1949,17,"1990-1994"
1,1,"Тихонов","Віктор",1949,18,"1990-1994"
1,1,"Правденко","Сергій",1949,19,"1990-1994"
1,1,"Гусєв","Віктор",1950,1,"1990-1994"
1,1,"Мороз","Олександр",1950,2,"1990-1994"
1,1,"Дубенков","Геннадій",1950,3,"1990-1994"
1,1,"Мотюк","Мирослав",1950,4,"1990-1994"
1,1,"Московка","Володимир",1950,5,"1990-1994"
1,1,"Голобородько","Олександр",1950,6,"1990-1994"
1,1,"Лебедик","Петро",1950,7,"1990-1994"
1,1,"Пискуновський","Костянтин",1950,8,"1990-1994"
1,1,"Гудима","Олександр",1950,9,"1990-1994"
1,1,"Бойко","Іван",1950,10,"1990-1994"
1,1,"Борзих","Олександр",1950,11,"1990-1994"
1,1,"Істратенко","Микола",1950,12,"1990-1994"
1,1,"Байрака","Михайло",1950,13,"1990-1994"
1,2,"Сівкова","Лідія",1951,1,"1990-1994"
1,1,"Хилюк","Олексій",1951,2,"1990-1994"
1,1,"Яценко","Володимир",1951,3,"1990-1994"
1,1,"Слєсаренко","Віктор",1951,4,"1990-1994"
1,1,"Костенко","Юрій",1951,5,"1990-1994"
1,1,"Бердніков","Олександр",1951,6,"1990-1994"
1,1,"Поджаров","Іван",1951,7,"1990-1994"
1,1,"Савельєв","Олег",1951,8,"1990-1994"
1,1,"Білий","Василь",1951,9,"1990-1994"
1,1,"Шершун","Микола",1951,10,"1990-1994"
1,1,"Кушнарьов","Євген",1951,11,"1990-1994"
1,1,"Поворозник","Володимир",1951,12,"1990-1994"
1,1,"Криволап","Володимир",1951,13,"1990-1994"
1,1,"Портной","Володимир",1951,14,"1990-1994"
1,1,"Маслюк","Геннадій",1952,1,"1990-1994"
1,1,"Заєць","Іван",1952,2,"1990-1994"
1,1,"Андріяка","Олександр",1952,3,"1990-1994"
1,1,"Шишкін","Віктор",1952,4,"1990-1994"
1,1,"Чобіт","Дмитро",1952,5,"1990-1994"
1,1,"Ярчук","Микола",1952,6,"1990-1994"
1,1,"Стешенко","Олександр",1952,7,"1990-1994"
1,1,"Бадов","Володимир",1952,8,"1990-1994"
1,2,"Богатирьова","Раїса",1953,1,"1990-1994"
1,1,"Лазаренко","Павло",1953,2,"1990-1994"
1,1,"Топалов","Валерій",1953,3,"1990-1994"
1,1,"Під'яблонський","Михайло",1953,4,"1990-1994"
1,1,"Сугоняко","Олександр",1953,5,"1990-1994"
1,1,"Мельничук","Віталій",1953,6,"1990-1994"
1,1,"Кондряков","Олександр",1953,7,"1990-1994"
1,1,"Цеков","Сергій",1953,8,"1990-1994"
