"convocation","gender","last_name","first_name","year","label","years","start","age_at_start","full_name"
1,1,"Поличко","Андрій",1945,3,"1990-1994","1990",45,"Андрій Поличко"
1,1,"Габор","Іван",1945,4,"1990-1994","1990",45,"Іван Габор"
1,1,"Пшеничников","Анатолій",1945,5,"1990-1994","1990",45,"Анатолій Пшеничников"
1,1,"Перепадін","Олександр",1945,6,"1990-1994","1990",45,"Олександр Перепадін"
1,1,"Хмельнюк","Валерій",1945,7,"1990-1994","1990",45,"Валерій Хмельнюк"
1,1,"Гриньов","Володимир",1945,8,"1990-1994","1990",45,"Володимир Гриньов"
1,1,"Науменко","Микола",1945,9,"1990-1994","1990",45,"Микола Науменко"
1,1,"Дронь","Анатолій",1945,10,"1990-1994","1990",45,"Анатолій Дронь"
1,1,"Яришев","Микола",1945,11,"1990-1994","1990",45,"Микола Яришев"
1,2,"Єщенко","Валентина",1946,1,"1990-1994","1990",44,"Валентина Єщенко"
1,1,"Дзюба","Микола",1946,2,"1990-1994","1990",44,"Микола Дзюба"
1,1,"Жуков","Володимир",1946,3,"1990-1994","1990",44,"Володимир Жуков"
1,1,"Бандура","Анатолій",1946,4,"1990-1994","1990",44,"Анатолій Бандура"
1,1,"Мартинов","Анатолій",1946,5,"1990-1994","1990",44,"Анатолій Мартинов"
1,1,"Спис","Микола",1946,6,"1990-1994","1990",44,"Микола Спис"
1,1,"Гаврилов","Анатолій",1946,7,"1990-1994","1990",44,"Анатолій Гаврилов"
1,1,"Виноградський","Максим",1946,8,"1990-1994","1990",44,"Максим Виноградський"
1,1,"Дунтау","Олександр",1946,9,"1990-1994","1990",44,"Олександр Дунтау"
1,1,"Носов","Владислав",1946,10,"1990-1994","1990",44,"Владислав Носов"
1,1,"Петров","Віктор",1946,11,"1990-1994","1990",44,"Віктор Петров"
1,1,"Баталов","Валерій",1946,12,"1990-1994","1990",44,"Валерій Баталов"
1,1,"Коржик","Валентин",1946,13,"1990-1994","1990",44,"Валентин Коржик"
1,1,"Глуховський","Анатолій",1946,14,"1990-1994","1990",44,"Анатолій Глуховський"
1,1,"Любенчук","Микола",1946,15,"1990-1994","1990",44,"Микола Любенчук"
1,1,"Лобач","В'ячеслав",1946,16,"1990-1994","1990",44,"В'ячеслав Лобач"
1,1,"Старіченко","Олександр",1947,1,"1990-1994","1990",43,"Олександр Старіченко"
1,1,"Васильєв","Василь",1947,2,"1990-1994","1990",43,"Василь Васильєв"
1,1,"Герасименко","Станіслав",1947,3,"1990-1994","1990",43,"Станіслав Герасименко"
1,1,"Сидоренко","Микола",1947,4,"1990-1994","1990",43,"Микола Сидоренко"
1,1,"Бабенко","Станіслав",1947,5,"1990-1994","1990",43,"Станіслав Бабенко"
1,1,"Сичов","Віктор",1947,6,"1990-1994","1990",43,"Віктор Сичов"
1,1,"Ніколенко","Анатолій",1947,7,"1990-1994","1990",43,"Анатолій Ніколенко"
1,1,"Петренко","Володимир",1947,8,"1990-1994","1990",43,"Володимир Петренко"
1,1,"Волковецький","Степан",1947,9,"1990-1994","1990",43,"Степан Волковецький"
1,1,"Нечипоренко","Олександр",1947,10,"1990-1994","1990",43,"Олександр Нечипоренко"
1,1,"Матійко","Анатолій",1947,11,"1990-1994","1990",43,"Анатолій Матійко"
1,1,"Казак","Леонід",1947,12,"1990-1994","1990",43,"Леонід Казак"
1,1,"Мещеряков","Валерій",1947,13,"1990-1994","1990",43,"Валерій Мещеряков"
1,1,"Левченко","Геннадій",1947,14,"1990-1994","1990",43,"Геннадій Левченко"
