"convocation","gender","last_name","first_name","year","years","start","age_at_start","full_name","label"
1,1,"Серебрянников","Юрій",1941,"1990-1994","1990",49,"Юрій Серебрянников",2
1,1,"Шевченко","Віктор",1941,"1990-1994","1990",49,"Віктор Шевченко",3
1,1,"Карпенко","Віталій",1941,"1990-1994","1990",49,"Віталій Карпенко",4
1,1,"Бондарєв","Валерій",1941,"1990-1994","1990",49,"Валерій Бондарєв",5
1,1,"Рудик","Василь",1941,"1990-1994","1990",49,"Василь Рудик",6
1,1,"Коваленко","Микола",1941,"1990-1994","1990",49,"Микола Коваленко",7
1,1,"Плющ","Іван",1941,"1990-1994","1990",49,"Іван Плющ",8
1,1,"Кендзьор","Ярослав",1941,"1990-1994","1990",49,"Ярослав Кендзьор",9
1,1,"Лубківський","Роман",1941,"1990-1994","1990",49,"Роман Лубківський",10
1,1,"Мельник","Борис",1941,"1990-1994","1990",49,"Борис Мельник",11
1,1,"Залудяк","Микола",1941,"1990-1994","1990",49,"Микола Залудяк",12
1,1,"Каменчук","Сергій",1941,"1990-1994","1990",49,"Сергій Каменчук",13
1,1,"Череп","Валерій",1941,"1990-1994","1990",49,"Валерій Череп",14
1,1,"Чепурний","Анатолій",1941,"1990-1994","1990",49,"Анатолій Чепурний",15
1,1,"Бичков","Вячеслав",1941,"1990-1994","1990",49,"Вячеслав Бичков",16
1,1,"Фесун","Никанор",1941,"1990-1994","1990",49,"Никанор Фесун",17
1,1,"Бабій","Дмитро",1941,"1990-1994","1990",49,"Дмитро Бабій",18
1,1,"Дорофєєв","Володимир",1941,"1990-1994","1990",49,"Володимир Дорофєєв",19
1,1,"Павлов","Володимир",1941,"1990-1994","1990",49,"Володимир Павлов",20
1,1,"Рябченко","Микола",1941,"1990-1994","1990",49,"Микола Рябченко",21
1,1,"Хомич","Дмитро",1941,"1990-1994","1990",49,"Дмитро Хомич",22
1,2,"Бойко","Катерина",1942,"1990-1994","1990",48,"Катерина Бойко",1
1,1,"Мазур","Володимир",1942,"1990-1994","1990",48,"Володимир Мазур",2
1,1,"Сівцов","Микола",1942,"1990-1994","1990",48,"Микола Сівцов",3
1,1,"Дорошенко","Іван",1942,"1990-1994","1990",48,"Іван Дорошенко",4
1,1,"Куцай","Іван",1942,"1990-1994","1990",48,"Іван Куцай",5
1,1,"Ступніков","Юрій",1942,"1990-1994","1990",48,"Юрій Ступніков",6
1,1,"Головенко","Микола",1942,"1990-1994","1990",48,"Микола Головенко",7
1,1,"Македонський","Іван",1942,"1990-1994","1990",48,"Іван Македонський",8
1,1,"Боделан","Руслан",1942,"1990-1994","1990",48,"Руслан Боделан",9
1,1,"Ківшик","Петро",1942,"1990-1994","1990",48,"Петро Ківшик",10
1,1,"Чернявський","Олексій",1942,"1990-1994","1990",48,"Олексій Чернявський",11
1,1,"Сухоруков","Андрій",1942,"1990-1994","1990",48,"Андрій Сухоруков",12
1,1,"Казмірук","Віталій",1942,"1990-1994","1990",48,"Віталій Казмірук",13
1,1,"Касьяненко","Анатолій",1942,"1990-1994","1990",48,"Анатолій Касьяненко",14
1,1,"Хананов","Едуард",1942,"1990-1994","1990",48,"Едуард Хананов",15
1,1,"Салій","Іван",1943,"1990-1994","1990",47,"Іван Салій",1
1,1,"Мокроусов","Анатолій",1943,"1990-1994","1990",47,"Анатолій Мокроусов",2
1,1,"Гоменюк","Іван",1943,"1990-1994","1990",47,"Іван Гоменюк",3
